seed,horizon,model,median_km,rank,is_best,router_pick
2026,3h,Persistence Residual Cascade,8.814,8,False,
2026,12h,SECE v2 Phase3,33.264,1,True,SECE NNLS full
2026,12h,Stacking Ensemble,34.018,2,False,
2026,12h,LightGBM,34.747,3,False,
2026,12h,XGBoost,34.924,4,False,
2026,12h,Random Forest,34.998,5,False,
2026,12h,Persistence Residual Cascade,35.251,6,False,
2026,12h,CB+MotionNN,35.357,7,False,
2026,12h,CatBoost,40.247,8,False,
2026,24h,SECE v2 Phase3,94.659,1,True,SECE NNLS full
2026,24h,XGBoost,96.231,2,False,
2026,24h,Stacking Ensemble,96.785,3,False,
2026,24h,LightGBM,96.927,4,False,
2026,24h,Persistence Residual Cascade,97.651,5,False,
2026,24h,Random Forest,99.259,6,False,
2026,24h,CB+MotionNN,100.101,7,False,
2026,24h,CatBoost,101.203,8,False,
2026,48h,Persistence Residual Cascade,229.145,1,True,
2026,48h,XGBoost,230.332,2,False,
2026,48h,SECE v2 Phase3,231.466,3,False,SECE NNLS full
2026,48h,LightGBM,234.679,4,False,
2026,48h,CB+MotionNN,236.909,5,False,
2026,48h,Stacking Ensemble,237.142,6,False,
2026,48h,CatBoost,238.147,7,False,
2026,48h,Random Forest,241.012,8,False,
