n_ibtracs_points,frac_missing_wmo_wind,frac_missing_usa_wind,frac_missing_newdelhi_wind,frac_track_not_main,frac_nature_nr,n_ready_points,frac_newdelhi_wind_missing_ready,frac_irregular_dt,frac_latnext_mismatch,genesis_year,SID
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1893.0,1893212N20088
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1893.0,1893244N21088
82,1.0,1.0,1.0,0.0,0.0,78.0,1.0,0.0,0.0,1893.0,1893252N18090
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1893.0,1893264N18089
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1893.0,1893293N16091
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1893.0,1893298N11096
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1893.0,1893308N10084
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1894.0,1894117N13093
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1894.0,1894164N23091
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1894.0,1894172N20087
66,1.0,1.0,1.0,0.0,0.0,62.0,1.0,0.0,0.0,1894.0,1894184N25089
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1894.0,1894192N20087
58,1.0,1.0,1.0,0.0,0.0,54.0,1.0,0.0,0.0,1894.0,1894197N20089
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1894.0,1894205N22088
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1894.0,1894225N23088
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1894.0,1894270N20087
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1894.0,1894275N21088
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1894.0,1894303N13090
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1895.0,1895112N11086
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1895.0,1895170N21088
29,1.0,1.0,1.0,0.0,0.0,25.0,1.0,0.0,0.0,1895.0,1895179N21088
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1895.0,1895199N20088
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1895.0,1895211N21088
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1895.0,1895218N20088
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1895.0,1895247N17087
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1895.0,1895259N18090
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1895.0,1895273N18087
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1895.0,1895344N12089
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1896.0,1896170N21089
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1896.0,1896178N21090
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1896.0,1896204N21089
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1896.0,1896208N21090
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1896.0,1896214N21089
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1896.0,1896226N21088
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1896.0,1896233N22089
50,1.0,1.0,1.0,0.0,0.0,46.0,1.0,0.0,0.0,1896.0,1896257N20090
58,1.0,1.0,1.0,0.0,0.0,54.0,1.0,0.0,0.0,1896.0,1896319N06079
10,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1897.0,1897133N15096
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1897.0,1897166N20089
10,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1897.0,1897190N21088
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1897.0,1897195N25088
50,1.0,1.0,1.0,0.0,0.0,46.0,1.0,0.0,0.0,1897.0,1897225N21088
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1897.0,1897252N19085
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1897.0,1897266N17090
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1897.0,1897275N18084
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1897.0,1897294N14096
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1897.0,1897360N13085
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1898.0,1898125N13095
